Number,Messier,NGC,Name,Type,SubType,Season,Magnitude,Const,ConstEnglish,Constellation,RA,Dec,Distance,Size,Discoverer,Year,Captured,CapYear,Remarks
1,M1,NGC 1952,Crab Nebula,Nebula,Supernova remnant,Winter,8.4,Tau,Bull,Taurus,05:34:31.97,+22:00:52.1,"6,500",420″ × 290″,Bévis,1731,0,NULL,NULL
2,M2,NGC 7089,–,Cluster,Globular cluster,Autumn,6.5,Aqr,Water Bearer,Aquarius,21:33:27.01,-00:49:23.9,"33,000",16',Maraldi,1746,0,NULL,NULL
3,M3,NGC 5272,–,Cluster,Globular cluster,Spring,6.2,CVn,Hound Dogs,Canes Venatici,13:42:11.23,+28:22:31.6,"33,900",18',Messier,1764,1,2024,NULL
4,M4,NGC 6121,Spider Globular,Cluster,Globular cluster,Summer,5.6,Sco,Scorpion,Scorpius,16:23:35.40,-26:31:31.9,"7,200",26',Chéseaux,1746,0,NULL,NULL
5,M5,NGC 5904,Rose Cluster,Cluster,Globular cluster,Spring,5.6,Se1,Snake,Serpens,15:18:33.75,+02:04:57.7,"24,500",23',Kirch,1702,1,2024,NULL
6,M6,NGC 6504,Butterfly Cluster,Cluster,Open cluster,Summer,4.2,Sco,Scorpion,Scorpius,17:40:20.75,-32:15:15.0,"1,600",25',Hodierna,1654,0,NULL,NULL
7,M7,NGC 6475,Ptolemy's Cluster,Cluster,Open cluster,Summer,3.3,Sco,Scorpion,Scorpius,17:53:51.18,-34:47:34.2,780,80',Ptolémée,,0,NULL,NULL
8,M8,NGC 6523,Lagoon Nebula,Nebula,Emission Nebula,Summer,4.6,Sgr,Archer,Sagittarius,18:03:41.27,-24:22:48.6,"4,100",90′ × 40′,Flamsteed,1680,0,NULL,NULL
9,M9,NGC 6333,–,Cluster,Globular cluster,Summer,7.7,Oph,Serpent Holder,Ophiuchus,17:19:11.78,-18:30:58.5,"25,800",9.3',Messier,1764,0,NULL,NULL
10,M10,NGC 6254,–,Cluster,Globular cluster,Summer,6.6,Oph,Serpent Holder,Ophiuchus,16:57:08.99,-04:05:57.6,"14,300",20',Messier,1764,1,2024,NULL
